,word,number
0,Дунёнинг,1
1,энг,3
2,қиммат,1
3,шаҳарлари,1
4,рейтинги,1
5,эълон,1
6,қилинди.,1
7,Тошкент,1
8,энг,3
9,арзон,1
10,шаҳарлар,1
11,бешталигида,1
12,Россия,1
13,қўшини,1
14,Запорижжя,1
15,АЭСни,1
16,тарк,1
17,этиши,1
18,мумкин,1
19,ЖЧ-2022.,1
20,Жанубий,1
21,Корея,1
22,90+1-дақиқадаги,1
23,гол,1
24,эвазига,1
25,Португалияни,1
26,мағлуб,1
27,этиб,1
28,1/8,1
29,финалга,1
30,"чиқди,",1
31,Уругвай,1
32,турнир,1
33,билан,1
34,хайрлашди,1
35,Хитойда,1
36,қуёшни,1
37,кузатиш,1
38,учун,2
39,мўлжалланган,1
40,дунёдаги,1
41,энг,3
42,йирик,1
43,радиотелескоп,1
44,қурилди,1
45,Қизларни,1
46,тадбирга,1
47,жалб,1
48,қилиш,1
49,таклифи,1
50,тўгарак,1
51,раҳбари,1
52,ва,1
53,ота-оналардан,1
54,чиққан,1
55,—,1
56,ҳокимлик,1
57,Термизда,1
58,Афғонистон,1
59,иқтисодиётига,1
60,мутахассислар,1
61,тайёрлаш,1
62,учун,2
63,таълим,1
64,кластери,1
65,ташкил,1
66,этилади,1
67,Украина,1
68,элчихоналарига,1
69,ҳайвонлар,1
70,кўзи,1
71,солинган,1
72,пакетлар,1
73,юборилди,1
74,ИИВ,1
75,Бухорода,1
76,ИИБ,1
77,биносида,1
78,фуқаро,1
79,вафот,1
80,этганини,1
81,рад,1
82,этди.,1
83,Прокуратура,1
84,ҳолат,1
85,ўрганилаётганини,1
86,маълум,1
87,қилди,1
